job,link,post date,employment type,description,responsibilities,qualifications
Sr-DFX-Engineer,https://careers.microsoft.com/us/en/job/943776/Sr-DFX-Engineer,"Dec 8, 2020",Full-Time,"Do you want to be part of the team that brings world class hardware from concept to market? The Design for Excellence (DfX) team within Microsoft's NPI group enables the delivery of world class hardware that our customers love, incorporating innovative, cutting edge technologies.
 Role & Opportunity:
The Microsoft New Product Introduction (NPI) group is looking for a passionate & team-oriented engineer to join us in shaping the future of devices. 
 You will be part of the Design for Manufacturing (DfM) group within the DfX team and focused on PCB's and FPC's design and manufacturing processes. Your end-to-end engagement will include design development, new design and process characterization, and manufacturing launch of next generation Microsoft hardware. You will get to collaborate cross-functionally with engineering disciplines across the company.","Integral technical engagement and concurrent engineering collaboration with internal product development groups such as Surface, Surface Hub, Xbox, HoloLens and Next Generation product lines
Early partnership with product development teams to identify design elements that are new, unique, or difficult and enable their realization through all engineering verification and validation cycles.
Collaborate with cross-functional teams and external vendors to identify, characterize and deliver manufacturing processes that enable the commercialization of unique and emerging technologies in new product categories.
Directing and setting priorities for teams focused on creating new ways to solve complex design and manufacturing challenges, cost reduction and yield improvement efforts, inventing and commercializing new technologies and methods.
Perform technical analyses, recommend, prepare and execute designs-of-experiments, and characterize process and design interactions.
Stay current and versed in emerging technologies, materials, methods and manufacturing processes.
Lead efforts within DfX and the hardware organization to define and evolve new internal methods, as well as generate and evangelize best practices guidelines to enable efficiencies in future hardware development and launch activities.
Drive DFM, activities in the hardware product development schedules to meet or exceed product targets (ex. Quality, reliability, safety, cost).
Proactively identify manufacturing processes and design methods which can be improved and then deliver best in-class solutions.
10-20% travel to domestic and overseas vendor and factory sites is required.","Bachelor / Master’s degree in Electrical Engineering, Mechanical Engineering, Manufacturing Engineering, Industrial Engineering, or Material Science Engineering.
8+ years as either a Design for Manufacturing (DfM) or hardware engineer in product development for PCB and FPC design, or high-volume SMT / PCB manufacturing or process engineer.
Strong troubleshooting skills and structured problem-solving approach; Experience leveraging manufacturing data to identify design and assembly issues and subsequently drive continuous quality
Consistently demonstrating strong technical aptitude and experience with electro-mechanical design and related manufacturing process.  Some examples include: Design for assembly / Manufacturing; FPCA and PCBA design & SMT manufacturing; EE and ME component and material selection.
Concurrent engineering experience with cross-functional teams.
Demonstrated ability in product and statistical process control, part characterization, structured problem solving, defect/failure analysis, DOE, statistical data analysis.
Knowledge in 3D CAD systems like Pro-E/Creo, SolidWorks, Cadence Allegro, or Zuken is a plus.
Design for manufacturing (DfM) experience in a high-volume environment preferred.
Experience working on a team that is not centrally located.
  Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.  We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Talent-Acquisition-Intern,https://careers.microsoft.com/us/en/job/980876/Talent-Acquisition-Intern,"Feb 4, 2021",Internship,"Microsoft’s mission is to empower every person and every organization on the planet to achieve more. Our culture is centered on embracing a growth mindset, a theme of inspiring excellence and encouraging teams and leaders to bring their best each day. We believe we should each find meaning in our work and we ensure employees have the freedom and the reach to help make a difference in the world.   
 We are looking for candidates who are:  
Team Players: driving digital transformation with our customers is a team sport. We need teammates who can stay maniacally focused on our customers' satisfaction while operating in a highly-collaborative, matrixed global organization.   
Growth Mindset: your life is truly about learning-it-all. You approach every new piece of information, knowledge, and competency with insatiable curiosity. Ultimately, you're open to the ideas of others, where the success of others does not diminish your own.   
Relentlessly Resourceful: you have the drive to overcome any obstacle in your work.   
Customer Obsessed: you learn about your customers and their businesses with a beginner's mind and then bring solutions that meet their needs.   
Pure Challenge: demonstrated desire and ability to readily take on complex challenges and work towards solutions to seemingly unsolvable problems.   
Passion for Technology: you're deeply motivated by the incredible opportunity of how technology can inspire and ignite change and renewal.   
 Curious about how a TECH giant like Microsoft finds/hires the best talents in the market? Consider recruiting as your future career, and want to experience working with (learning from) one of the best recruitment teams in the industry? 
 We may just have the internship for you. You’ll cover the basics of recruiting, but more importantly, gain knowledge to develop meaningful recruiting approaches which promote aggressive methods to source, evaluate, and pipeline both local and global technical candidates on requisition, project and event basis for Microsoft. You’re expected to thrive in the hunt and market intelligence and be focused on networking closely within the industry to identify the right talent and companies to target. A strong candidate for this role should demonstrate the ability to be result oriented, self- motivated individual. The ideal candidate will be curious, creative and has the ability to color outside the lines. ","Work with mentor to understandhiringrequirements of a role, its challenge, and how it fits into organization. 
Search/evaluate/engage with both local and overseas talents under mentor’s guidance via multiple platforms. 
Research and gather market intelligence. (e.g. Mapping and Landscape study)
Staffing related reporting and system operations. ","5 days/week for 6 months
Be able to adapt, react and deliver in a fastpaceenvironment with pressure 
Be able to use English as a working language
Relevant recruiting experiencepreferred,software/internet industry experience preferred. 
Good at MS-Office
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. 
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Senior-Software-Engineer-Web,https://careers.microsoft.com/us/en/job/980775/Senior-Software-Engineer-Web,"Feb 4, 2021",Full-Time,"Hate Auth prompts? Come fix them! The Microsoft Edge Identity Team is focused on enabling seamless identity powered experiences. By integrating identity holistically into Edge, the team allows for numerous scenarios to be enhanced by user identity while preventing a proliferation of authorization prompts and focusing on Single Sign On (SSO). Because Microsoft Edge works across platforms, you’ll have the chance to find scalable ways to make this work on all of these platforms. You will expose identity to users in an intuitive manner.","You will work on enabling fluid identity scenarios that run across multiple platforms, from Windows to MacOS to Mobile to Linux! You’ll get a chance to measure the real-world impact of these changes by seeing how often users needlessly are prompted for credentials, and help define and implement protocols that eliminate that need. You’ll work in a variety of codebases to solve this problem, and have a chance to work with numerous partner teams to solve these problems. It’s a chance to work on a modern codebase with a fast iteration loop. You will get a chance to work in a number of languages, but a lot of the code is portable C++.","Preferred qualifications:
• Comfort in picking up new languages and tools as needed (e.g. Python, Typescript, web technologies).
• Demonstrated productivity and effectiveness in large codebases and/or open-source software (Chromium esp.).
• Experience in managing incoming and outgoing API design.
• Interest in web authentication stacks and protocols (e.g. OAuth).
• Familiarity working in an agile environment, attending daily standup. Experience with practicing role of scrum master is also helpful.
  Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. 
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Software-Development-Engineer-all-level-MSNIA,https://careers.microsoft.com/us/en/job/958884/Software-Development-Engineer-all-level-MSNIA,"Jan 7, 2021",Full-Time,"MSN Access team is responsible for maximizing the profitability of the MSN Dial-Up and MSN Premium/Homepage by maximizing customer retention, maintaining the core value proposition of the products over time, and sustained engineering to provide user secure and reliable internet access, mail, and browsing experiences, also a solution center with the opportunity to identify and resolve their issues using CSS managed forums and certified solutions. We are a team full of high caliber, talented, passionate developers from different regions around world. By leveraging modern client and font-end development techniques, we are working on a fast-cycle to delight our users, and meanwhile optimize reliability, engagement, and retention for our many web products like MSN.com, MSN Solution Center. Now we are looking for a strong developer to join our fun and challenging journey. As a member of the MSN Access team, you'll have the opportunity to shape the design of products, and have a direct impact on various products that millions of users use every day. You will learn and research many cutting edge methods in modern web techniques. You will have enormous resources of Microsoft at your disposal and close collaborations with great teams and colleagues in world-wide. At the same time, you have the right environment and strong support to drive your favorite features to solution. We are an extremely agile team, and we move very fast from ideas to experimentation, development and deployment through continuous releases throughout the year.","Simplify and improve the user experience of MSN Solution Center web sites and other MSN homepages through UI and service update.
Update CI/CD (continuous integration and continuous delivery)
Closely work with Devs and PMs in different countries to achieve fast collaboration and agile development.","We are looking for cream of the crop - motivated engineers with excellent architecture, design, coding, and debugging skills.
B.S. in Computer Science or related required.
Solid coding skill and familiar with JS/Typescript/Java.
Great design, problem solving, and data analysis skills, with demonstrated passion for quality, performance, and engineering excellence.
At least 1 year of industry experiences in frontend (HTML/CSS/JS/React, etc.) or website service developing is preferred.
Motivated and able to work independently as well in a collaborative team setting to research innovative solutions to challenging technical/business problems.
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. 
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Junior-Student-Early-Internship-Opportunities-Explore-Program-STCA-Suzhou,https://careers.microsoft.com/us/en/job/983984/Junior-Student-Early-Internship-Opportunities-Explore-Program-STCA-Suzhou,"Feb 7, 2021",Internship,"Explore Microsoft is a 8-week summer internship program specifically designed for the students with bachelor or master degree who are 2 years or more before your graduation. The program is rotational and allows you to gain experience in our different software engineering roles. The Explore Internship is intended for students who are beginning their academic studies and would like to learn more about careers in software development through a learning program. Interns will gain group project experience working alongside other Explore Interns. Your on-the-job learning will be enhanced with mentoring, community building and networking opportunities. ","You will work closely within a team of Explore Interns and have end-to-end ownership for design, development, and quality of a project that will impact your broader team. Throughout the internship you’ll gain hands-on experience with various tools and programming languages in the field of software development. Working closely with your Manager, and Mentors you will evaluate requirements, estimate costs, create and implement features and services.","Must be students with bachelor or master degree, 2 years or more before your graduation.
Completed an Introduction to Computer Science course (or equivalent class) as well as one semester of math course by the start of the program.
Demonstrated interest in computer science, computer engineering, software engineering or related technical areas.
Programming experience in either Java, Python, C, C++ or other programming languages.
Fluent in reading and writing English."
Software-Engineer,https://careers.microsoft.com/us/en/job/969893/Software-Engineer,"Feb 19, 2021",Full-Time,"Do you want to design, develop and maintain user experiences that reach millions of Bing users every day across the world? Bing Multimedia Experience team develops advanced technologies to enable image/video search experiences on the Web, Windows and Edge. As one of the key drivers towards Bing user and revenue growth we are looking to expand our team and continue this momentum. We are looking for a motivated developer who enjoys teamwork, a good communicator across various disciplines (engineering, program management, support) and has a passion for state-of-the-art performant and beautiful UI. While the primary focus is web-based UI, coming to this position carries the expectations of ability to work deeper into the service stack and design/implement solutions that ensure highest availability, performance and security. Key technology expertise includes open source and industry-standard HTML/Javascript based web technologies (Typescript etc.), and good understanding of designing, developing and debugging managed code (C#). Beyond technology, the ideal candidate has worked and shipped in different organizational and product teams, using agile methodologies, and wants to apply the best practices in engineering by setting a personal example of excellence. This is the opportunity to make a difference, bring in your own experience and insights, and work with a relatively small but diverse, dedicated and passionate team of professionals to deliver great software – all while having a fun time doing it!","Features: Plan, design, develop and deliver multiple user facing features within the service and partner with more senior engineers on bigger cross-team deliverables Engineering system: Increase code quality and velocity by bringing in industry standard tools and best practices. Fundamentals: Take ownership of at least one aspect of security, supportability, usability, performance, accessibility of the product and execute the organizational requirements.","Engineering experience (2+ years) of designing, coding and troubleshooting cloud-based software services in TypeScript/JavaScript, HTML5, CSS3 Experience in general purpose programming language like C#, Java, C++ etc Problem solving, debugging, and DevOps skills. Bachelor’s degree in Computer Science or equivalence. Team player with excellent collaboration and communication skills across disciplines, levels and product teams Ability to ramp-up in new areas quickly and an obsession to getting things done! Experience in client-side rendering frameworks like React etc will be a plus.
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Software-Engineer-2,https://careers.microsoft.com/us/en/job/969889/Software-Engineer-2,"Feb 19, 2021",Full-Time,"Do you want to design, develop and maintain user experiences that reach millions of Bing users every day across the world? Bing Image Experience team develops advanced technologies to enable image search experiences on the Web, Windows and Edge. As one of the key drivers towards Bing user and revenue growth we are looking to expand our team and continue this momentum. We are looking for a motivated developer who enjoys teamwork, a good communicator across various disciplines (engineering, program management, support) and has a passion for state-of-the-art performant and beautiful UI. While the primary focus is web-based UI, coming to this position carries the expectations of ability to work deeper into the service stack and design/implement solutions that ensure highest availability, performance and security. Key technology expertise includes open source and industry-standard HTML/Javascript based web technologies (Typescript etc.), and good understanding of designing, developing and debugging managed code (C#). Beyond technology, the ideal candidate has worked and shipped in different organizational and product teams, using agile methodologies, and wants to apply the best practices in engineering by setting a personal example of excellence. This is the opportunity to make a difference, bring in your own experience and insights, and work with a relatively small but diverse, dedicated and passionate team of professionals to deliver great software – all while having a fun time doing it!","Features: Plan, design, develop and deliver multiple user facing features within the service and partner with more senior engineers on bigger cross-team deliverables Engineering system: Increase code quality and velocity by bringing in industry standard tools and best practices. Fundamentals: Take ownership of at least one aspect of security, supportability, usability, performance, accessibility of the product and execute the organizational requirements","Engineering experience (4+ years) of designing, coding and troubleshooting cloud-based software services in TypeScript/JavaScript, HTML5, CSS3 Experience in general purpose programming language like C#, Java, C++ etc Problem solving, debugging, and DevOps skills. Bachelor’s degree in Computer Science or equivalence. Team player with excellent collaboration and communication skills across disciplines, levels and product teams Ability to ramp-up in new areas quickly and an obsession to getting things done! Experience in client-side rendering frameworks like React etc will be a plus.
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Software-Engineer-2,https://careers.microsoft.com/us/en/job/969891/Software-Engineer-2,"Feb 19, 2021",Full-Time,"Do you want to design, develop and maintain user experiences that reach millions of Bing users every day across the world? Bing Image Experience team develops advanced technologies to enable image search experiences on the Web, Windows and Edge. As one of the key drivers towards Bing user and revenue growth we are looking to expand our team and continue this momentum. We are looking for a motivated developer who enjoys teamwork, a good communicator across various disciplines (engineering, program management, support) and has a passion for state-of-the-art performant and beautiful UI. While the primary focus is web-based UI, coming to this position carries the expectations of ability to work deeper into the service stack and design/implement solutions that ensure highest availability, performance and security. Key technology expertise includes open source and industry-standard HTML/Javascript based web technologies (Typescript etc.), and good understanding of designing, developing and debugging managed code (C#). Beyond technology, the ideal candidate has worked and shipped in different organizational and product teams, using agile methodologies, and wants to apply the best practices in engineering by setting a personal example of excellence. This is the opportunity to make a difference, bring in your own experience and insights, and work with a relatively small but diverse, dedicated and passionate team of professionals to deliver great software – all while having a fun time doing it!","Features: Plan, design, develop and deliver multiple user facing features within the service and partner with more senior engineers on bigger cross-team deliverables Engineering system: Increase code quality and velocity by bringing in industry standard tools and best practices. Fundamentals: Take ownership of at least one aspect of security, supportability, usability, performance, accessibility of the product and execute the organizational requirements","Engineering experience (4+ years) of designing, coding and troubleshooting cloud-based software services in TypeScript/JavaScript, HTML5, CSS3 Experience in general purpose programming language like C#, Java, C++ etc Problem solving, debugging, and DevOps skills. Bachelor’s degree in Computer Science or equivalence. Team player with excellent collaboration and communication skills across disciplines, levels and product teams Ability to ramp-up in new areas quickly and an obsession to getting things done! Experience in client-side rendering frameworks like React etc will be a plus.
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Software-Development-Engineer-2,https://careers.microsoft.com/us/en/job/980765/Software-Development-Engineer-2,"Feb 17, 2021",Full-Time,"Are you interested in being part of a team with close to $10B in revenue and rapid growth? Are you looking for joining a fun and fast paced environment, where people are empowered to innovate? Are you excited about cutting-edge technologies? Based in the Web Experiences Team (WebXT), we are building a large scale payment service that powers commerce for WebXT’s key businesses like Bing, Content Feed, Edge.  We are hiring experienced Software Engineer to help us deliver services and experiences for empowering WebXT’s developer and partner ecosystem to be successful. You will be responsible for building mission critical scalable services to integrate with downstream systems, fluent user experience to manage end to end product life-cycle. The technologies are amazing and the team is fast growing, it is the perfect time to join!","As one of the key developers in WebXT payment team, you will own the experience and component from design to production, including partnerships with PM and US peers to design great experiences, implement, test, deploy, stabilize, and monitor features in a fast paced development environment. You will have international exposure and see your work being used by people around the globe. You will work on the infrastructure to build and manage service at global scale. You will work with a highly motivated team solving large problems and have huge and immediate business impact, and incredible opportunities to learn and grow.","· Real-world experience developing large scale online services with robust performance, resiliency, telemetry and security.
· 3+ years of experience on design patterns· 3+ years of experience with any cloud platform (Azure, AWS) or any equivalent
· 5+ years of software engineering experience using leveraging C# and Web Services.
· BS/MS Degree in CS or related engineering field is preferredExperience in payment area is a big plus
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. 
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Software-Engineer-SEII-O365-Monitoring,https://careers.microsoft.com/us/en/job/991340/Software-Engineer-SEII-O365-Monitoring,"Feb 19, 2021",Full-Time,"Office 365 is at the center of Microsoft’s cloud first, devices first strategy as it brings together cloud versions of our most trusted communications and collaboration products such as Exchange, SharePoint, Yammer, and Lync with the latest version of our desktop suite and mobile apps. Our customers depend on our services to run their organizations, whether that is a Fortune 500 company, a small business, a non-profit, or an educational institution.
As a Software Develop Engineer working in Office 365 Monitoring team, you are responsible to design, develop, test, deploy, maintain and improve components, services, systems to manage hundreds of thousands of cloud servers and devices to achieve high availability, low latency, cost efficient enterprise cloud services. You will also need to use cutting edge technologies such as Machine learning, AI, apply to cloud infrastructure level in very large scale.","• Design, develop, test, deploy, maintain and improve software components, services, systems, and features in large scale, distributed cloud environment
• Work with peer engineers, partner teams and program managers to deliver cutting edge cloud technology
• Build smart monitoring infrastructure for large scale, high availability cloud services.","• BS/MS in computer science, software engineering, mathematics, or a related engineering field
• 1+ years relevant work experiences in one or more general purpose programming languages (e.g. C#, Java, C/C++, Python, Go etc.)
 Preferred Qualifications:
• Experience in large scale distributed system architecture, design and implementation
• Strong communication skills and ability to work with multi develop center teams
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. 
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
